"Species";"main_diet";"foraging_water_depth";"foraging_location";"fasting_strategy";"terrestriality";"female_sexual_maturity";"weaning";"gestation";"inter_litter";"breeding_site";"social_group_mean";"social_behavior";"adult_weight_max";"dimorphism";"IUCN_status";"IUCN_num";"IUCN_50";"IUCN_100"
"Arctocephalus_australis";"D";"D";"E";1;1;3;12;11,75;12;"A";17,5;"A";105;2;"LC";0;5E-05;0,0001
"Arctocephalus_forsteri";"D";"B";"F";1;1;4;9,5;9;12;"A";7,5;"A";137,5;2;"LC";0;5E-05;0,0001
"Arctocephalus_galapagoensis";"E";"B";"A";1;1;4;30;11,5;12;"A";21,5;"A";50,5;2;"EN";3;0,42;0,667
"Arctocephalus_gazella";"A";"D";"B";1;1;3,5;4;8,5;12;"A";10;"A";127,5;2;"LC";0;5E-05;0,0001
"Arctocephalus_philippii";"D";"A";"A";1;1;"NA";8,5;12;12;"A";12,5;"A";94,05;2;"LC";0;5E-05;0,0001
"Arctocephalus_pusillus";"D";"D";"A";1;1;3,5;11;11,75;12;"A";19,5;"NA";235;2;"LC";0;5E-05;0,0001
"Arctocephalus_townsendi";"D";"B";"E";1;1;"NA";9;12;12;"A";4;"C";105;2;"LC";0;5E-05;0,0001
"Arctocephalus_tropicalis";"D";"D";"A";1;1;5;11;12,75;12;"A";9;"A";116;2;"LC";0;5E-05;0,0001
"Balaena_mysticetus";"A";"D";"F";0;0;15;12;13,5;42;"B";2;"C";90000;0;"LC";0;5E-05;0,0001
"Balaenoptera_acutorostrata";"A";"D";"F";1;0;6;5,5;10;12;"B";2,5;"C";9200;0;"LC";0;5E-05;0,0001
"Balaenoptera_bonaerensis";"A";"A";"F";1;0;6;5,5;10;12;"C";2,5;"C";9100;0;"NT";1;0,004;0,01
"Balaenoptera_borealis";"A";"A";"F";1;0;10;6,5;11,75;12;"C";3,5;"C";45000;0;"EN";3;0,42;0,667
"Balaenoptera_edeni";"A";"D";"F";0;0;8;6;11,5;24;"C";2;"A";38250;0;"LC";0;5E-05;0,0001
"Balaenoptera_musculus";"A";"A";"B";1;0;10;7;11,5;30;"C";1,5;"C";180000;0;"EN";3;0,42;0,667
"Balaenoptera_omurai";"A";"NA";"NA";1;0;8,5;6;12;18;"C";"NA";"C";20000;0;"DD";"NA";"NA";"NA"
"Balaenoptera_physalus";"A";"A";"F";1;0;7,7;6,5;11;30;"C";1,5;"C";120000;0;"VU";3;0,42;0,667
"Berardius_arnuxii";"E";"D";"C";0;0;12,5;"NA";17;24;"C";8;"A";8400;0;"DD";"NA";"NA";"NA"
"Berardius_bairdii";"E";"C";"C";0;0;12,5;6;17;24;"C";15,5;"A";12000;0;"DD";"NA";"NA";"NA"
"Callorhinus_ursinus";"D";"D";"D";1;1;4;4,5;8;12;"A";8,5;"C";160;2;"VU";2;0,05;0,1
"Caperea_marginata";"A";"NA";"F";1;0;"NA";"NA";10;"NA";"C";1,5;"C";3400;0;"LC";0;5E-05;0,0001
"Cephalorhynchus_commersonii";"D";"C";"A";0;0;7,5;"NA";11,5;"NA";"C";2;"C";86;0;"LC";0;5E-05;0,0001
"Cephalorhynchus_eutropia";"D";"C";"A";0;0;7,5;"NA";10,5;"NA";"C";6;"A";63;0;"NT";1;0,004;0,01
"Cephalorhynchus_heavisidii";"D";"C";"A";0;0;7,5;"NA";10,5;"NA";"C";3,2;"A";75;0;"NT";1;0,004;0,01
"Cephalorhynchus_hectori";"D";"C";"A";0;0;7,5;12;10,5;36;"C";5;"A";57;0;"EN";3;0,42;0,667
